font_family,combined_codepoints,count,subset_source,subset_output
font_display,Yahlm、うこそへよ,11,./ZenAntique-Regular.ttf,../fonts/font_display.woff2
font_body,.01AGHLMYabilmptuy。いかこさすてでのはまらるれをェクジトプペロー動成生自見,46,./ZenOldMincho-Regular.ttf,../fonts/font_body.woff2
